grupo;idioma;consulta;cos_max;clasifica_bien;pasaje_num;pasaje_palabras;pasaje_recuperado;cos_max_1504;pasaje_num_1504;pasaje_recuperado_1504
dentro;en;How should shadows be painted upon a figure?;0.8799;si;546;37;OF PAINTING. The size of the figures represented ought to show you the distance they are seen from. If you see a figure as large as nature you know it appears to be close to the eye.;0.8971;554;"OF THE JUDGMENT TO BE MADE OF A PAINTER'S WORK. First you must consider whether the figures have the relief required by their situation and the light which illuminates them; for the shadows should not be the same at the extreme ends of the composition as in the middle, because it is one thing when figures are surrounded by shadows and another when they have shadows only on one side. Those which ar"
dentro;en;Why do distant mountains appear blue?;0.8814;si;295;223;"OF AERIAL PERSPECTIVE. There is another kind of perspective which I call Aerial Perspective, because by the atmosphere we are able to distinguish the variations in distance of different buildings, which appear placed on a single line; as, for instance, when we see several buildings beyond a wall, all of which, as they appear above the top of the wall, look of the same size, while you wish to repre";0.9027;461;"OF PAINTING. In landscapes which represent [a scene in] winter. The mountains should not be shown blue, as we see in the mountains in the summer. And this is proved in the 4th of this which says: Among mountains seen from a great distance those will look of the bluest colour which are in themselves the darkest; hence, when the trees are stripped of their leaves, they will show a bluer tinge which "
dentro;en;How does the water of a river move when it meets an obstacle?;0.8798;si;1174;35;The water you touch in a river is the last of that which has passed, and the first of that which is coming. Thus it is with time present. Life if well spent, is long.;0.8852;972;"When a smaller river pours its waters into a larger one, and that larger one flows from the opposite direction, the course of the smaller river will bend up against the approach of the larger river; and this happens because, when the larger river fills up all its bed with water, it makes an eddy in front of the mouth of the other river, and so carries the water poured in by the smaller river with "
dentro;en;How do birds stay aloft without beating their wings?;0.8577;si;781;144;ON THE REMEDY FOR EARTHQUAKES. The arch which throws its pressure perpendicularly on the abutments will fulfil its function whatever be its direction, upside down, sideways or upright. The arch will not break if the chord of the outer arch does not touch the inner arch. This is manifest by experience, because whenever the chord _a o n_ of the outer arch _n r a_ approaches the inner arch _x b y_ th;0.8758;1123;"Remember that your flying machine must imitate no other than the bat, because the web is what by its union gives the armour, or strength to the wings. If you imitate the wings of feathered birds, you will find a much stronger structure, because they are pervious; that is, their feathers are separate and the air passes through them. But the bat is aided by the web that connects the whole and is not"
dentro;en;What are the proportions of the human body?;0.8714;si;343;388;"Vitruvius, the architect, says in his work on architecture that the measurements of the human body are distributed by Nature as follows: that is that 4 fingers make 1 palm, and 4 palms make 1 foot, 6 palms make 1 cubit; 4 cubits make a man's height. And 4 cubits make one pace and 24 palms make a man; and these measures he used in his buildings. If you open your legs so much as to decrease your hei";0.8714;343;"Vitruvius, the architect, says in his work on architecture that the measurements of the human body are distributed by Nature as follows: that is that 4 fingers make 1 palm, and 4 palms make 1 foot, 6 palms make 1 cubit; 4 cubits make a man's height. And 4 cubits make one pace and 24 palms make a man; and these measures he used in his buildings. If you open your legs so much as to decrease your hei"
dentro;en;What should a young man study who wants to learn to paint?;0.8471;si;506;217;PAINTING. The mind of the painter must resemble a mirror, which always takes the colour of the object it reflects and is completely occupied by the images of as many objects as are in front of it. Therefore you must know, Oh Painter! that you cannot be a good one if you are not the universal master of representing by your art every kind of form produced by nature. And this you will not know how to;0.8774;483;The youth should first learn perspective, then the proportions of objects. Then he may copy from some good master, to accustom himself to fine forms. Then from nature, to confirm by practice the rules he has learnt. Then see for a time the works of various masters. Then get the habit of putting his art into practice and work.
dentro;en;How is light rendered upon a face?;0.8841;si;519;56;That the light should fall upon a picture from one window only. This may be seen in the case of objects in this form. If you want to represent a round ball at a certain height you must make it oval in this shape, and stand so far off as that by foreshortening it appears round.;0.8850;565;That you ought, when representing objects above the eye and on one side--if you wish them to look detached from the wall--to show, between the shadow on the object and the shadow it casts a middle light, so that the body will appear to stand away from the wall. On the lighting of white objects.
dentro;en;How are the muscles of the arm arranged?;0.8549;si;339;28;"The opening of the ear, the joint of the shoulder, that of the hip and the ancle are in perpendicular lines; _a n_ is equal to _m o_.";0.8800;799;THE ARRANGEMENT OF ANATOMY First draw the bones, let us say, of the arm, and put in the motor muscle from the shoulder to the elbow with all its lines. Then proceed in the same way from the elbow to the wrist. Then from the wrist to the hand and from the hand to the fingers. And in the arm you will put the motors of the fingers which open, and these you will show separately in their demonstration.
dentro;en;What happens to the colour of things when they are very far away?;0.8701;si;264;16;OF SHADOW. The surface of any opaque body is affected by the colour of surrounding objects.;0.8888;268;The surface of every opaque body is affected by the colour of the objects surrounding it. But this effect will be strong or weak in proportion as those objects are more or less remote and more or less strongly [coloured].
dentro;en;How are eddies and whirlpools formed in water?;0.8339;si;474;15;Describe how the clouds are formed and how they dissolve, and what cause raises vapour.;0.8948;389;"Observe the motion of the surface of the water which resembles that of hair, and has two motions, of which one goes on with the flow of the surface, the other forms the lines of the eddies; thus the water forms eddying whirlpools one part of which are due to the impetus of the principal current and the other to the incidental motion and return flow. On draperies (390--392)."
fuera;es;¿Qué opinás de la Mona Lisa y de su sonrisa?;0.7653;si;1347;59;"There is one whom his Lordship invited from Florence to do this work and who is a worthy master, but with so very much business he will never finish it; and you may imagine that a difference there is to be seen between a beautiful object and an ugly one. Quote Pliny. Letter to the Cardinal Ippolito d' Este.";0.8013;1560;"Ut bene respondet Naturae ars docta! dedisset Vincius, ut tribuit cetera  sic animam  Noluit ut similis magis haec foret: altera sic est: Possidet illius Maurus amans animam. Hujus quam cernis nomen Lucretia, Divi Omnia cui larga contribuere manu. Rara huic forma data est; pinxit Leonardos, amavit Maurus, pictorum primus hic, ille ducum. Naturam, ac superas hac laesit imagine Divas Pictor: tantu"
fuera;es;¿Qué pensás de Miguel Ángel como rival?;0.7806;si;669;540;On the battle of Anghiari. Florentine Neri di Gino Capponi Bernardetto de' Medici Micheletto, Niccolo da Pisa Conte Francesco Pietro Gian Paolo Guelfo Orsino, Messer Rinaldo degli Albizzi Begin with the address of Niccolo Piccinino to the soldiers and the banished Florentines among whom are Messer Rinaldo degli Albizzi and other Florentines. Then let it be shown how he first mounted on horseback i;0.8007;1560;"Ut bene respondet Naturae ars docta! dedisset Vincius, ut tribuit cetera  sic animam  Noluit ut similis magis haec foret: altera sic est: Possidet illius Maurus amans animam. Hujus quam cernis nomen Lucretia, Divi Omnia cui larga contribuere manu. Rara huic forma data est; pinxit Leonardos, amavit Maurus, pictorum primus hic, ille ducum. Naturam, ac superas hac laesit imagine Divas Pictor: tantu"
fuera;es;¿Estuviste enamorado alguna vez?;0.7621;si;1278;570;A FABLE. The privet feeling its tender boughs loaded with young fruit, pricked by the sharp claws and beak of the insolent blackbird, complained to the blackbird with pitious remonstrance entreating her that since she stole its delicious fruits she should not deprive it of the leaves with which it preserved them from the burning rays of the sun, and that she should not divest it of its tender bark;0.7900;1560;"Ut bene respondet Naturae ars docta! dedisset Vincius, ut tribuit cetera  sic animam  Noluit ut similis magis haec foret: altera sic est: Possidet illius Maurus amans animam. Hujus quam cernis nomen Lucretia, Divi Omnia cui larga contribuere manu. Rara huic forma data est; pinxit Leonardos, amavit Maurus, pictorum primus hic, ille ducum. Naturam, ac superas hac laesit imagine Divas Pictor: tantu"
fuera;es;¿Cómo fue tu muerte en Francia?;0.7634;si;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.7846;1377;"The Magnifico Giuliano de' Medici left Rome on the 9th of January 1515, just at daybreak, to take a wife in Savoy; and on the same day fell the death of the king of France."
fuera;es;¿Qué opinás de las elecciones presidenciales de este año?;0.7689;si;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.7788;900;OF THE MOON. All my opponent's arguments to say that there is no water in the moon.
fuera;es;¿Cómo funciona la inteligencia artificial?;0.7706;si;66;75;"The images of objects are all diffused through the atmosphere which receives them; and all on every side in it. To prove this, let _a c e_ be objects of which the images are admitted to a dark chamber by the small holes _n p_ and thrown upon the plane _f i_ opposite to these holes. As many images will be produced in the chamber on the plane as the number of the said holes.";0.7912;1558;"**IlavTcov avTKX[AcpXt(uv Suo soostai smataupovTou; 2irptoo[Aiaaai w avepu>uo? 'Ae7]vac ToT? Qs.oi<; 8sj(o[j-ai.** C.A.130a; 397a]"
fuera;es;¿Quién va a ganar el Mundial de fútbol?;0.7692;si;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.7692;1069;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.
fuera;es;¿Cuál es el mejor teléfono celular del mercado?;0.7523;si;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.7642;1565;XVIo* C. 6 de Ciuitate Dei, 2*se Antipodes.
fuera;es;¿Qué te parece la política migratoria de la Unión Europea?;0.7753;si;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.7862;1060;"And this may be seen, as I saw it, by any one going up Monbroso , a peak of the Alps which divide France from Italy. The base of this mountain gives birth to the 4 rivers which flow in four different directions through the whole of Europe. And no mountain has its base at so great a height as this, which lifts itself above almost all the clouds; and snow seldom falls there, but only hail in the sum"
fuera;es;¿Cuánto sale un pasaje de avión a Madrid?;0.7399;si;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.7405;820;Of the flight of the 4th kind of butterflies that consume winged ants. Of the three principal positions of the wings of birds in downward flight.
fuera;en;What do you think of the Mona Lisa and her smile?;0.8221;NO;1347;59;"There is one whom his Lordship invited from Florence to do this work and who is a worthy master, but with so very much business he will never finish it; and you may imagine that a difference there is to be seen between a beautiful object and an ugly one. Quote Pliny. Letter to the Cardinal Ippolito d' Este.";0.8544;1404;Giovannina, has a fantastic face,--is at Santa Caterina, at the Hospital. I.2 IIa]
fuera;en;What did you think of Michelangelo as a rival?;0.8339;NO;1347;59;"There is one whom his Lordship invited from Florence to do this work and who is a worthy master, but with so very much business he will never finish it; and you may imagine that a difference there is to be seen between a beautiful object and an ugly one. Quote Pliny. Letter to the Cardinal Ippolito d' Este.";0.8373;1489;"_It may be incidentally remarked that no sketches are known for the portrait of ""Mona Lisa"", nor do the MS. notes ever allude to it, though according to Vasari the master had it in hand for fully four years. Leonardo's cartoon for the picture of the battle of Anghiari has shared the fate of the rival work, Michaelangelo's ""Bathers summoned to Battle"". Both have been lost in some wholly inexplicabl"
fuera;en;Were you ever in love with anyone?;0.8040;NO;1347;59;"There is one whom his Lordship invited from Florence to do this work and who is a worthy master, but with so very much business he will never finish it; and you may imagine that a difference there is to be seen between a beautiful object and an ugly one. Quote Pliny. Letter to the Cardinal Ippolito d' Este.";0.8257;1382;Ask maestro Lodovico for 'the conduits of water'. F1. Uff.]
fuera;en;Tell me about your death in France.;0.8331;NO;1347;59;"There is one whom his Lordship invited from Florence to do this work and who is a worthy master, but with so very much business he will never finish it; and you may imagine that a difference there is to be seen between a beautiful object and an ugly one. Quote Pliny. Letter to the Cardinal Ippolito d' Este.";0.8500;1382;Ask maestro Lodovico for 'the conduits of water'. F1. Uff.]
fuera;en;What is your opinion on this year's presidential election?;0.8185;NO;471;101;"Describe landscapes with the wind, and the water, and the setting and rising of the sun. THE WIND. All the leaves which hung towards the earth by the bending of the shoots with their branches, are turned up side down by the gusts of wind, and here their perspective is reversed; for, if the tree is between you and the quarter of the wind, the leaves which are towards you remain in their natural asp";0.8432;697;A felled tree which is shooting again. I am still hopeful. A falcon, Time.
fuera;en;How does artificial intelligence work?;0.8458;NO;66;75;"The images of objects are all diffused through the atmosphere which receives them; and all on every side in it. To prove this, let _a c e_ be objects of which the images are admitted to a dark chamber by the small holes _n p_ and thrown upon the plane _f i_ opposite to these holes. As many images will be produced in the chamber on the plane as the number of the said holes.";0.8458;66;"The images of objects are all diffused through the atmosphere which receives them; and all on every side in it. To prove this, let _a c e_ be objects of which the images are admitted to a dark chamber by the small holes _n p_ and thrown upon the plane _f i_ opposite to these holes. As many images will be produced in the chamber on the plane as the number of the said holes."
fuera;en;Who is going to win the football World Cup?;0.7964;NO;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.8123;1299;Blood will be seen issuing from the torn flesh of men, and trickling down the surface. Men will have such cruel maladies that they will tear their flesh with their own nails. *(The Itch.)* Plants will be seen left without leaves, and the rivers standing still in their channels. The waters of the sea will rise above the high peaks of the mountains towards heaven and fall again on to the dwellings o
fuera;en;What is the best mobile phone on the market?;0.7841;si;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.8062;900;OF THE MOON. All my opponent's arguments to say that there is no water in the moon.
fuera;en;What do you make of the European Union's immigration policy?;0.8048;NO;1069;29;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.;0.8120;1382;Ask maestro Lodovico for 'the conduits of water'. F1. Uff.]
fuera;en;How much does a plane ticket to Madrid cost?;0.7562;si;66;75;"The images of objects are all diffused through the atmosphere which receives them; and all on every side in it. To prove this, let _a c e_ be objects of which the images are admitted to a dark chamber by the small holes _n p_ and thrown upon the plane _f i_ opposite to these holes. As many images will be produced in the chamber on the plane as the number of the said holes.";0.7721;103;"PERSPECTIVE. Let _f_ be the level and distance of the eye; and _a_ the vertical plane, as high as a man; let _e_ be a man, then I say that on the plane this will be the distance from the plane to the 2nd man."
