tanda;grupo;idioma;consulta;cos_max;tau_idioma;clasifica_bien;pasaje_num;pasaje_recuperado
1;fuera;es;¿Estuviste enamorado alguna vez?;0.7900;0.8017;si;1560;"Ut bene respondet Naturae ars docta! dedisset Vincius, ut tribuit cetera  sic animam  Noluit ut similis magis haec foret: altera sic est: Possidet illius Maurus amans animam. Hujus quam cernis nomen Lucretia, Divi Omnia cui larga contribuere manu. Rara huic forma data est; pinxit Leonardos, amavit Maurus, pictorum primus hic, ille ducum. Naturam, ac superas hac laesit imagine Divas Pictor: tantu"
1;fuera;es;¿Cómo fue tu muerte en Francia?;0.7846;0.8017;si;1377;"The Magnifico Giuliano de' Medici left Rome on the 9th of January 1515, just at daybreak, to take a wife in Savoy; and on the same day fell the death of the king of France."
1;fuera;es;¿Qué opinás de las elecciones presidenciales de este año?;0.7788;0.8017;si;900;OF THE MOON. All my opponent's arguments to say that there is no water in the moon.
1;fuera;es;¿Cómo funciona la inteligencia artificial?;0.7912;0.8017;si;1558;"**IlavTcov avTKX[AcpXt(uv Suo soostai smataupovTou; 2irptoo[Aiaaai w avepu>uo? 'Ae7]vac ToT? Qs.oi<; 8sj(o[j-ai.** C.A.130a; 397a]"
1;fuera;es;¿Quién va a ganar el Mundial de fútbol?;0.7692;0.8017;si;1069;GERMANY. FRANCE. a. Austria, a. Picardy. b. Saxony. b. Normandy. c. Nuremberg. c. Dauphine. d. Flanders. SPAIN. a. Biscay. b. Castille. c. Galicia. d. Portugal. e. Taragona. f. Granada.
1;fuera;es;¿Cuál es el mejor teléfono celular del mercado?;0.7642;0.8017;si;1565;XVIo* C. 6 de Ciuitate Dei, 2*se Antipodes.
1;fuera;es;¿Qué te parece la política migratoria de la Unión Europea?;0.7862;0.8017;si;1060;"And this may be seen, as I saw it, by any one going up Monbroso , a peak of the Alps which divide France from Italy. The base of this mountain gives birth to the 4 rivers which flow in four different directions through the whole of Europe. And no mountain has its base at so great a height as this, which lifts itself above almost all the clouds; and snow seldom falls there, but only hail in the sum"
1;fuera;es;¿Cuánto sale un pasaje de avión a Madrid?;0.7405;0.8017;si;820;Of the flight of the 4th kind of butterflies that consume winged ants. Of the three principal positions of the wings of birds in downward flight.
1;fuera;en;What do you think of the Mona Lisa and her smile?;0.8544;0.8592;si;1404;Giovannina, has a fantastic face,--is at Santa Caterina, at the Hospital. I.2 IIa]
1;fuera;en;What did you think of Michelangelo as a rival?;0.8373;0.8592;si;1489;"_It may be incidentally remarked that no sketches are known for the portrait of ""Mona Lisa"", nor do the MS. notes ever allude to it, though according to Vasari the master had it in hand for fully four years. Leonardo's cartoon for the picture of the battle of Anghiari has shared the fate of the rival work, Michaelangelo's ""Bathers summoned to Battle"". Both have been lost in some wholly inexplicabl"
1;fuera;en;Were you ever in love with anyone?;0.8257;0.8592;si;1382;Ask maestro Lodovico for 'the conduits of water'. F1. Uff.]
1;fuera;en;Tell me about your death in France.;0.8500;0.8592;si;1382;Ask maestro Lodovico for 'the conduits of water'. F1. Uff.]
1;fuera;en;What is your opinion on this year's presidential election?;0.8432;0.8592;si;697;A felled tree which is shooting again. I am still hopeful. A falcon, Time.
1;fuera;en;How does artificial intelligence work?;0.8458;0.8592;si;66;"The images of objects are all diffused through the atmosphere which receives them; and all on every side in it. To prove this, let _a c e_ be objects of which the images are admitted to a dark chamber by the small holes _n p_ and thrown upon the plane _f i_ opposite to these holes. As many images will be produced in the chamber on the plane as the number of the said holes."
1;fuera;en;Who is going to win the football World Cup?;0.8123;0.8592;si;1299;Blood will be seen issuing from the torn flesh of men, and trickling down the surface. Men will have such cruel maladies that they will tear their flesh with their own nails. *(The Itch.)* Plants will be seen left without leaves, and the rivers standing still in their channels. The waters of the sea will rise above the high peaks of the mountains towards heaven and fall again on to the dwellings o
1;fuera;en;What is the best mobile phone on the market?;0.8062;0.8592;si;900;OF THE MOON. All my opponent's arguments to say that there is no water in the moon.
1;fuera;en;What do you make of the European Union's immigration policy?;0.8120;0.8592;si;1382;Ask maestro Lodovico for 'the conduits of water'. F1. Uff.]
1;fuera;en;How much does a plane ticket to Madrid cost?;0.7721;0.8592;si;103;"PERSPECTIVE. Let _f_ be the level and distance of the eye; and _a_ the vertical plane, as high as a man; let _e_ be a man, then I say that on the plane this will be the distance from the plane to the 2nd man."
2;dentro;es;¿Cómo logro que una figura pintada parezca tener relieve?;0.8192;0.8017;si;552;OF HELPING THE APPARENT RELIEF OF A PICTURE BY GIVING IT ARTIFICIAL LIGHT AND SHADE. To increase relief of a picture you may place, between your figure and the solid object on which its shadow falls, a line of bright light, dividing the figure from the object in shadow. And on the same object you shall represent two light parts which will surround the shadow cast upon the wall by the figure placed
2;dentro;es;¿Qué es la perspectiva aérea?;0.8236;0.8017;si;295;"OF AERIAL PERSPECTIVE. There is another kind of perspective which I call Aerial Perspective, because by the atmosphere we are able to distinguish the variations in distance of different buildings, which appear placed on a single line; as, for instance, when we see several buildings beyond a wall, all of which, as they appear above the top of the wall, look of the same size, while you wish to repre"
2;dentro;es;¿Por qué el aire lejano se vuelve azul?;0.8093;0.8017;si;434;"OF THE LIGHTS ON DARK LEAVES. The lights on such leaves which are darkest, will be most near to the colour of the atmosphere that is reflected in them. And the cause of this is that the light on the illuminated portion mingles with the dark hue to compose a blue colour; and this light is produced by the blueness of the atmosphere which is reflected in the smooth surface of these leaves and adds to"
2;dentro;es;¿Cómo se debe representar el humo en un cuadro?;0.8091;0.8017;si;525;"If you want to represent a figure on a wall, the wall being foreshortened, while the figure is to appear in its proper form, and as standing free from the wall, you must proceed thus: have a thin plate of iron and make a small hole in the centre; this hole must be round. Set a light close to it in such a position as that it shines through the central hole, then place any object or figure you pleas"
2;dentro;es;¿De qué manera hay que estudiar el movimiento del agua?;0.8194;0.8017;si;2;When you put together the science of the motions of water, remember to include under each proposition its application and use, in order that this science may not be useless.-- Admonition to readers.
2;dentro;es;¿Qué forma toman las olas cuando el viento sopla sobre un lago?;0.8086;0.8017;si;605;Describe a wind on land and at sea. Describe a storm of rain.
2;dentro;es;¿Cómo cae el agua desde una gran altura?;0.8224;0.8017;si;938;OF THE EARTH. The great elevations of the peaks of the mountains above the sphere of the water may have resulted from this that: a very large portion of the earth which was filled with water that is to say the vast cavern inside the earth may have fallen in a vast part of its vault towards the centre of the earth, being pierced by means of the course of the springs which continually wear away the 
2;dentro;es;¿Por qué se encuentran conchas marinas en la cima de las montañas?;0.8131;0.8017;si;992;Why do we find the bones of great fishes and oysters and corals and various other shells and sea-snails on the high summits of mountains by the sea, just as we find them in low seas?
2;dentro;es;¿Cómo se forman y se deshacen las nubes?;0.8513;0.8017;si;474;Describe how the clouds are formed and how they dissolve, and what cause raises vapour.
2;dentro;es;¿Por qué brilla la luna de noche?;0.8136;0.8017;si;896;"OF THE MOON. The moon has no light in itself; but so much of it as faces the sun is illuminated, and of that illumined portion we see so much as faces the earth. And the moon's night receives just as much light as is lent it by our waters as they reflect the image of the sun, which is mirrored in all those waters which are on the side towards the sun. The outside or surface of the waters forming t"
2;dentro;es;¿Cómo funciona el ojo humano?;0.8311;0.8017;si;829;"OF THE EYES IN ANIMALS. The eyes of all animals have their pupils adapted to dilate and diminish of their own accord in proportion to the greater or less light of the sun or other luminary. But in birds the variation is much greater; and particularly in nocturnal birds, such as horned owls, and in the eyes of one species of owl; in these the pupil dilates in such away as to occupy nearly the whole"
2;dentro;es;¿Qué ocurre dentro de una cámara oscura con un agujero pequeño?;0.8183;0.8017;si;273;The edges of a colour(ed object) transmitted through a small hole are more conspicuous than the central portions. The edges of the images, of whatever colour, which are transmitted through a small aperture into a dark chamber will always be stronger than the middle portions.
2;dentro;es;¿Cómo se comporta la luz al pasar por una abertura estrecha?;0.8081;0.8017;si;519;That the light should fall upon a picture from one window only. This may be seen in the case of objects in this form. If you want to represent a round ball at a certain height you must make it oval in this shape, and stand so far off as that by foreshortening it appears round.
2;dentro;es;¿Cómo debe el pintor estudiar la sombra?;0.8043;0.8017;si;493;"OF THE LIFE OF THE PAINTER IN THE COUNTRY. A painter needs such mathematics as belong to painting. And the absence of all companions who are alienated from his studies; his brain must be easily impressed by the variety of objects, which successively come before him, and also free from other cares . And if, when considering and defining one subject, a second subject intervenes--as happens when an o"
2;dentro;es;¿Qué diferencia hay entre la sombra primitiva y la derivada?;0.8405;0.8017;si;163;The derived shadow can never resemble the body from which it proceeds unless the light is of the same form and size as the body causing the shadow. The derived shadow cannot be of the same form as the primary shadow unless it is intercepted by a plane parallel to it.
2;dentro;es;¿Cómo se pintan los pliegues de los paños?;0.7914;0.8017;NO;628;TO PREPARE A PANEL FOR PAINTING ON. The panel should be cypress or pear or service-tree or walnut. You must coat it over with mastic and turpentine twice distilled and white or, if you like, lime, and put it in a frame so that it may expand and shrink according to its moisture and dryness. Then give it [a coat] of aqua vitae in which you have dissolved arsenic or [corrosive] sublimate, 2 or 3 time
2;dentro;es;¿Cómo se dibuja el cabello cuando está en movimiento?;0.7970;0.8017;NO;389;"Observe the motion of the surface of the water which resembles that of hair, and has two motions, of which one goes on with the flow of the surface, the other forms the lines of the eddies; thus the water forms eddying whirlpools one part of which are due to the impetus of the principal current and the other to the incidental motion and return flow. On draperies (390--392)."
2;dentro;es;¿Qué proporción hay entre la cabeza y el cuerpo entero?;0.8291;0.8017;si;334;From the roots of the hair to the top of the breast _a b_ is the sixth part of the height of a man and this measure is equal. From the outside part of one shoulder to the other is the same distance as from the top of the breast to the navel and this measure goes four times from the sole of the foot to the lower end of the nose. The [thickness of] the arm where it springs from the shoulder in front
2;dentro;es;¿Cuántas cabezas mide un hombre bien proporcionado?;0.8201;0.8017;si;309;"If a man 2 braccia high is too small, one of four is too tall, the medium being what is admirable. Between 2 and 4 comes 3; therefore take a man of 3 braccia in height and measure him by the rule I will give you. If you tell me that I may be mistaken, and judge a man to be well proportioned who does not conform to this division, I answer that you must look at many men of 3 braccia, and out of the "
2;dentro;es;¿Cuáles son las proporciones del caballo?;0.8101;0.8017;si;718;Measurement of the Sicilian horse the leg from behind, seen in front, lifted and extended. Occasional references to the Sforza monument (719-724).
2;dentro;es;¿Cómo se mueven los tendones de la mano?;0.8274;0.8017;si;353;"The principal movements of the hand are 10; that is forwards, backwards, to right and to left, in a circular motion, up or down, to close and to open, and to spread the fingers or to press them together."
2;dentro;es;¿Qué debe saber el pintor de los huesos para dibujar el cuerpo?;0.8292;0.8017;si;488;OF PAINTING. It is indispensable to a Painter who would be thoroughly familiar with the limbs in all the positions and actions of which they are capable, in the nude, to know the anatomy of the sinews, bones, muscles and tendons so that, in their various movements and exertions, he may know which nerve or muscle is the cause of each movement and show those only as prominent and thickened, and not 
2;dentro;es;¿Cómo se representa el rostro de un anciano?;0.8218;0.8017;si;594;OF REPRESENTING A MAN SPEAKING TO A MULTITUDE. When you wish to represent a man speaking to a number of people, consider the matter of which he has to treat and adapt his action to the subject. Thus, if he speaks persuasively, let his action be appropriate to it. If the matter in hand be to set forth an argument, let the speaker, with the fingers of the right hand hold one finger of the left hand,
2;dentro;es;¿Cómo se pintan las expresiones del rostro?;0.8114;0.8017;si;659;"Though you may be able to tell or write the exact description of forms, the painter can so depict them that they will appear alive, with the shadow and light which show the expression of a face; which you cannot accomplish with the pen though it can be achieved by the brush. On the history of painting (660. 661)."
2;dentro;es;¿Cómo debe componerse una escena de batalla?;0.8063;0.8017;si;601;"OF THE WAY OF REPRESENTING A BATTLE. First you must represent the smoke of artillery mingling in the air with the dust and tossed up by the movement of horses and the combatants. And this mixture you must express thus: The dust, being a thing of earth, has weight; and although from its fineness it is easily tossed up and mingles with the air, it nevertheless readily falls again. It is the finest p"
2;dentro;es;¿Es la pintura superior a la escultura?;0.8065;0.8017;si;528;Why are paintings seen more correctly in a mirror than out of it?
2;dentro;es;¿Qué debe hacer el pintor cuando está solo?;0.8071;0.8017;si;493;"OF THE LIFE OF THE PAINTER IN THE COUNTRY. A painter needs such mathematics as belong to painting. And the absence of all companions who are alienated from his studies; his brain must be easily impressed by the variety of objects, which successively come before him, and also free from other cares . And if, when considering and defining one subject, a second subject intervenes--as happens when an o"
2;dentro;es;¿Conviene juzgar la propia obra mirándola en un espejo?;0.8250;0.8017;si;530;"OF JUDGING YOUR OWN PICTURES. We know very well that errors are better recognised in the works of others than in our own; and that often, while reproving little faults in others, you may ignore great ones in yourself. To avoid such ignorance, in the first place make yourself a master of perspective, then acquire perfect knowledge of the proportions of men and other animals, and also, study good ar"
2;dentro;es;¿Por qué es importante dibujar del natural?;0.8150;0.8017;si;1560;"Ut bene respondet Naturae ars docta! dedisset Vincius, ut tribuit cetera  sic animam  Noluit ut similis magis haec foret: altera sic est: Possidet illius Maurus amans animam. Hujus quam cernis nomen Lucretia, Divi Omnia cui larga contribuere manu. Rara huic forma data est; pinxit Leonardos, amavit Maurus, pictorum primus hic, ille ducum. Naturam, ac superas hac laesit imagine Divas Pictor: tantu"
2;dentro;es;¿Cómo se ejercita la memoria visual?;0.7962;0.8017;NO;82;An experiment showing that though the pupil may not be moved from its position the objects seen by it may appear to move from their places. If you look at an object at some distance from you and which is below the eye, and fix both your eyes upon it and with one hand firmly hold the upper lid open while with the other you push up the under lid--still keeping your eyes fixed on the object gazed at-
2;dentro;es;¿Cómo vuelan las aves contra el viento?;0.8088;0.8017;si;820;Of the flight of the 4th kind of butterflies that consume winged ants. Of the three principal positions of the wings of birds in downward flight.
2;dentro;es;¿Qué hace el ave con la cola cuando gira en el aire?;0.7992;0.8017;NO;1126;An object offers as much resistance to the air as the air does to the object. You may see that the beating of its wings against the air supports a heavy eagle in the highest and rarest atmosphere, close to the sphere of elemental fire. Again you may see the air in motion over the sea, fill the swelling sails and drive heavily laden ships. From these instances, and the reasons given, a man with win
2;dentro;es;¿Se puede construir una máquina para que el hombre vuele?;0.8002;0.8017;NO;1122;Man when flying must stand free from the waist upwards so as to be able to balance himself as he does in a boat so that the centre of gravity in himself and in the machine may counterbalance each other, and be shifted as necessity demands for the changes of its centre of resistance.
2;dentro;es;¿Cómo se reparte el peso en un arco?;0.8169;0.8017;si;779;"WHAT IS AN ARCH? The arch is nothing else than a force originated by two weaknesses, for the arch in buildings is composed of two segments of a circle, each of which being very weak in itself tends to fall; but as each opposes this tendency in the other, the two weaknesses combine to form one strength. OF THE KIND OF PRESSURE IN ARCHES. As the arch is a composite force it remains in equilibrium be"
2;dentro;es;¿Cómo se levanta un peso por medio de poleas?;0.7989;0.8017;NO;762;"THE WAY TO CONSTRUCT A FRAME-WORK FOR DECORATING BUILDINGS. The way in which the poles ought to be placed for tying bunches of juniper on to them. These poles must lie close to the framework of the vaulting and tie the bunches on with osier withes, so as to clip them even afterwards with shears. Let the distance from one circle to another be half a braccia; and the juniper [sprigs] must lie top do"
2;dentro;es;¿Cómo se debe fortificar una ciudad?;0.8041;0.8017;si;1203;"There will be eternal fame also for the inhabitants of that town, constructed and enlarged by him. All communities obey and are led by their magnates, and these magnates ally themselves with the lords and subjugate them in two ways: either by consanguinity, or by fortune; by consanguinity, when their children are, as it were, hostages, and a security and pledge of their suspected fidelity; by prop"
2;dentro;es;¿Cómo crecen las ramas de un árbol?;0.8099;0.8017;si;416;"OF THE RAMIFICATIONS OF TREES AND THEIR FOLIAGE. The ramifications of any tree, such as the elm, are wide and slender after the manner of a hand with spread fingers, foreshortened. And these are seen in the distribution [thus]: the lower portions are seen from above; and those that are above are seen from below; and those in the middle, some from below and some from above. The upper part is the ex"
2;dentro;es;¿Por qué las hojas se disponen así alrededor del tallo?;0.8117;0.8017;si;418;"A leaf always turns its upper side towards the sky so that it may the better receive, on all its surface, the dew which drops gently from the atmosphere. And these leaves are so distributed on the plant as that one shall cover the other as little as possible, but shall lie alternately one above another as may be seen in the ivy which covers the walls. And this alternation serves two ends; that is,"
2;dentro;en;How do I make a painted figure appear to have relief?;0.8823;0.8592;si;552;OF HELPING THE APPARENT RELIEF OF A PICTURE BY GIVING IT ARTIFICIAL LIGHT AND SHADE. To increase relief of a picture you may place, between your figure and the solid object on which its shadow falls, a line of bright light, dividing the figure from the object in shadow. And on the same object you shall represent two light parts which will surround the shadow cast upon the wall by the figure placed
2;dentro;en;What is aerial perspective?;0.8704;0.8592;si;295;"OF AERIAL PERSPECTIVE. There is another kind of perspective which I call Aerial Perspective, because by the atmosphere we are able to distinguish the variations in distance of different buildings, which appear placed on a single line; as, for instance, when we see several buildings beyond a wall, all of which, as they appear above the top of the wall, look of the same size, while you wish to repre"
2;dentro;en;Why does the distant air turn blue?;0.9105;0.8592;si;868;Beyond the sun and us there is darkness and so the air appears blue.
2;dentro;en;How should smoke be represented in a picture?;0.8745;0.8592;si;570;OF PAINTING. The density of a body of smoke looks white below the horizon while above the horizon it is dark, even if the smoke is in itself of a uniform colour, this uniformity will vary according to the variety in the ground on which it is seen. IV. OF PORTRAIT AND FIGURE PAINTING. Of sketching figures and portraits (571-572).
2;dentro;en;In what manner should the motion of water be studied?;0.8609;0.8592;si;2;When you put together the science of the motions of water, remember to include under each proposition its application and use, in order that this science may not be useless.-- Admonition to readers.
2;dentro;en;What shape do waves take when the wind blows over a lake?;0.8345;0.8592;NO;605;Describe a wind on land and at sea. Describe a storm of rain.
2;dentro;en;How does water fall from a great height?;0.8781;0.8592;si;966;WHETHER WATER RISES FROM THE SEA TO THE TOPS OF MOUNTAINS. The water of the ocean cannot make its way from the bases to the tops of the mountains which bound it, but only so much rises as the dryness of the mountain attracts. And if, on the contrary, the rain, which penetrates from the summit of the mountain to the base, which is the boundary of the sea, descends and softens the slope opposite to 
2;dentro;en;Why are sea shells found on the tops of mountains?;0.9038;0.8592;si;992;Why do we find the bones of great fishes and oysters and corals and various other shells and sea-snails on the high summits of mountains by the sea, just as we find them in low seas?
2;dentro;en;How are clouds formed and how do they dissolve?;0.9313;0.8592;si;474;Describe how the clouds are formed and how they dissolve, and what cause raises vapour.
2;dentro;en;Why does the moon shine at night?;0.8875;0.8592;si;877;This will have before it the treatise on light and shade. The edges in the moon will be most strongly lighted and reflect most light, because, there, nothing will be visible but the tops of the waves of the water .
2;dentro;en;How does the human eye work?;0.8907;0.8592;si;86;"A simple and natural method; showing how objects appear to the eye without any other medium. The object that is nearest to the eye always seems larger than another of the same size at greater distance. The eye _m_, seeing the spaces _o v x_, hardly detects the difference between them, and the. reason of this is that it is close to them ; but if these spaces are marked on the vertical plane _n o_ t"
2;dentro;en;What happens inside a dark chamber with a small hole?;0.8815;0.8592;si;273;The edges of a colour(ed object) transmitted through a small hole are more conspicuous than the central portions. The edges of the images, of whatever colour, which are transmitted through a small aperture into a dark chamber will always be stronger than the middle portions.
2;dentro;en;How does light behave when it passes through a narrow opening?;0.8937;0.8592;si;77;THE PRINCIPLE ON WHICH THE IMAGES OF BODIES PASS IN BETWEEN THE MARGINS OF THE OPENINGS BY WHICH THEY ENTER. What difference is there in the way in which images pass through narrow openings and through large openings, or in those which pass by the sides of shaded bodies? By moving the edges of the opening through which the images are admitted, the images of immovable objects are made to move. And 
2;dentro;en;How should the painter study shadow?;0.8668;0.8592;si;554;"OF THE JUDGMENT TO BE MADE OF A PAINTER'S WORK. First you must consider whether the figures have the relief required by their situation and the light which illuminates them; for the shadows should not be the same at the extreme ends of the composition as in the middle, because it is one thing when figures are surrounded by shadows and another when they have shadows only on one side. Those which ar"
2;dentro;en;What is the difference between primary and derived shadow?;0.9072;0.8592;si;163;The derived shadow can never resemble the body from which it proceeds unless the light is of the same form and size as the body causing the shadow. The derived shadow cannot be of the same form as the primary shadow unless it is intercepted by a plane parallel to it.
2;dentro;en;How should the folds of drapery be painted?;0.8593;0.8592;si;392;"You ought not to give to drapery a great confusion of many folds, but rather only introduce them where they are held by the hands or the arms; the rest you may let fall simply where it is its nature to flow; and do not let the nude forms be broken by too many details and interrupted folds. How draperies should be drawn from nature: that is to say if youwant to represent woollen cloth draw the fold"
2;dentro;en;How is hair drawn when it is in motion?;0.8723;0.8592;si;389;"Observe the motion of the surface of the water which resembles that of hair, and has two motions, of which one goes on with the flow of the surface, the other forms the lines of the eddies; thus the water forms eddying whirlpools one part of which are due to the impetus of the principal current and the other to the incidental motion and return flow. On draperies (390--392)."
2;dentro;en;What is the proportion between the head and the whole body?;0.8772;0.8592;si;317;From the top of the head to the bottom of the chin is 1/9, and from the roots of the hair to the chin is 1/9 of the distance from the roots of the hair to the ground. The greatest width of the face is equal to the space between the mouth and the roots of the hair and is 1/12 of the whole height. From the top of the ear to the top of the head is equal to the distance from the bottom of the chin to 
